id,gatewayId,containerTemperature1,containerTemperatureSensorId1,containerTemperature2,containerTemperatureSensorId2,containerTemperature3,containerTemperatureSensorId3,humidityValue,humidityTemperature,humiditySensorId,hvacStateOn,hvacStateValue,hvacActuatorId,currentClampValue,currentClampSensorId,externalTemperature,externalTemperatureId,parcelTemperature,parcelTemperatureSensorId,timestamp
-1,GATEWAY,25,80_00_00_00_00_01,25,80_00_00_00_00_02,25,80_00_00_00_00_03,30.5,0,80_00_00_00_02_01,0,0,80_00_00_00_05_01,0,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:04"
-1,GATEWAY,25,80_00_00_00_00_01,25,80_00_00_00_00_02,25,80_00_00_00_00_03,30.5,0,80_00_00_00_02_01,0,0,80_00_00_00_05_01,0,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:24"
-1,GATEWAY,25,80_00_00_00_00_01,25,80_00_00_00_00_02,25,80_00_00_00_00_03,30.5,0,80_00_00_00_02_01,0,0,80_00_00_00_05_01,0,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:29"
-1,GATEWAY,25,80_00_00_00_00_01,25,80_00_00_00_00_02,25,80_00_00_00_00_03,30.5,0,80_00_00_00_02_01,0,0,80_00_00_00_05_01,0,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:34"
-1,GATEWAY,25,80_00_00_00_00_01,25,80_00_00_00_00_02,25,80_00_00_00_00_03,30.5,0,80_00_00_00_02_01,0,0,80_00_00_00_05_01,0,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:39"
-1,GATEWAY,25,80_00_00_00_00_01,25,80_00_00_00_00_02,25,80_00_00_00_00_03,30.5,0,80_00_00_00_02_01,0,0,80_00_00_00_05_01,0,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:44"
-1,GATEWAY,25,80_00_00_00_00_01,25,80_00_00_00_00_02,25,80_00_00_00_00_03,30.5,0,80_00_00_00_02_01,0,0,80_00_00_00_05_01,0,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:49"
-1,GATEWAY,25.58,80_00_00_00_00_01,25.53,80_00_00_00_00_02,20.88,80_00_00_00_00_03,29.63,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:54"
-1,GATEWAY,25.58,80_00_00_00_00_01,25.53,80_00_00_00_00_02,20.88,80_00_00_00_00_03,29.63,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:16:59"
-1,GATEWAY,25.58,80_00_00_00_00_01,25.53,80_00_00_00_00_02,20.88,80_00_00_00_00_03,29.63,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:17:04"
-1,GATEWAY,25.58,80_00_00_00_00_01,25.53,80_00_00_00_00_02,20.88,80_00_00_00_00_03,29.63,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.26,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:17:09"
-1,GATEWAY,26.04,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:17:18"
-1,GATEWAY,26.04,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:17:35"
-1,GATEWAY,26.04,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:17:36"
-1,GATEWAY,26.04,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:17:42"
-1,GATEWAY,26.04,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:01"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:02"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:11"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:24"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:29"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:35"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:40"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:45"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:49"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:50"
-1,GATEWAY,26.25,80_00_00_00_00_01,25.92,80_00_00_00_00_02,19.17,80_00_00_00_00_03,27.12,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:51"
-1,GATEWAY,26.28,80_00_00_00_00_01,26.06,80_00_00_00_00_02,19.2,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:55"
-1,GATEWAY,26.28,80_00_00_00_00_01,26.06,80_00_00_00_00_02,19.2,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:18:59"
-1,GATEWAY,26.28,80_00_00_00_00_01,26.06,80_00_00_00_00_02,19.2,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:04"
-1,GATEWAY,26.28,80_00_00_00_00_01,26.06,80_00_00_00_00_02,19.2,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:09"
-1,GATEWAY,26.36,80_00_00_00_00_01,26.1,80_00_00_00_00_02,19.22,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:14"
-1,GATEWAY,26.36,80_00_00_00_00_01,26.1,80_00_00_00_00_02,19.22,80_00_00_00_00_03,25.19,0,80_00_00_00_02_01,1,5,80_00_00_00_05_01,6.25,80_00_00_00_03_01,35,80_00_00_00_04_01,25,80_00_00_00_01_01,"2014-07-10 10:19:19"
