@relation someData

@attribute temperatureInfrastructureSensor1 numeric
@attribute temperatureInfrastructureSensor2 numeric
@attribute temperatureInfrastructureSensor3 numeric
@attribute externalTemperature numeric
@attribute temperatureParcel numeric
@attribute humidityInfrastructureSensor numeric
@attribute currentClampValue numeric
@attribute hvacStateOn {false,true}
@attribute hvacStateValue numeric
@attribute time numeric

@data
25.001689,25.003387,25.001684,25.001684,?,30.5,0,true,10,1
25.003354,25.006923,25.003466,25.003466,?,30.5,0,true,10,2
25.007677,25.011466,25.005766,25.005766,?,30.5,0,true,10,3
25.013903,25.016833,25.008497,25.008497,?,30.5,0,true,10,4
25.021368,25.022874,25.011708,25.011708,?,30.5,0,true,10,5
25.029666,25.029469,25.015438,25.015438,?,30.5,0,true,10,6
25.038547,25.036522,25.019683,25.019683,?,30.5,0,true,10,7
25.047854,25.043957,25.024412,25.024412,?,30.5,0,true,10,8
25.057481,25.051715,25.029582,25.029582,?,30.5,0,true,10,9
25.067354,25.059746,25.035147,25.035147,?,30.5,0,true,10,10
25.07742,25.068013,25.041062,25.041062,?,30.5,0,true,10,11
25.087637,25.07648,25.047286,25.047286,?,30.5,0,true,10,12
25.097977,25.085123,25.053784,25.053784,?,30.5,0,true,10,13
25.108414,25.093917,25.060524,25.060524,?,30.5,0,true,10,14
25.118931,25.102845,25.06748,25.06748,?,30.5,0,true,10,15
25.129512,25.111888,25.074626,25.074626,?,30.5,0,true,10,16
25.140144,25.121034,25.081943,25.081943,?,30.5,0,true,10,17
25.150818,25.13027,25.089413,25.089413,?,30.5,0,true,10,18
25.161525,25.139585,25.09702,25.09702,?,30.5,0,true,10,19
25.172258,25.148971,25.104751,25.104751,?,30.5,0,true,10,20
25.183011,25.158418,25.112593,25.112593,?,30.5,0,true,10,21
25.193779,25.167921,25.120535,25.120535,?,30.5,0,true,10,22
25.204556,25.177473,25.128569,25.128569,?,30.5,0,true,10,23
25.215341,25.187067,25.136686,25.136686,?,30.5,0,true,10,24
25.226128,25.1967,25.144878,25.144878,?,30.5,0,true,10,25
25.236915,25.206366,25.153139,25.153139,?,30.5,0,true,10,26
25.2477,25.216061,25.161462,25.161462,?,30.5,0,true,10,27
25.258481,25.225782,25.169843,25.169843,?,30.5,0,true,10,28
25.269255,25.235525,25.178276,25.178276,?,30.5,0,true,10,29
25.280021,25.245288,25.186756,25.186756,?,30.5,0,true,10,30
25.290778,25.255068,25.19528,25.19528,?,30.5,0,true,10,31
25.301523,25.264861,25.203845,25.203845,?,30.5,0,true,10,32
25.312256,25.274667,25.212445,25.212445,?,30.5,0,true,10,33
25.322975,25.284482,25.22108,25.22108,?,30.5,0,true,10,34
25.33368,25.294305,25.229744,25.229744,?,30.5,0,true,10,35
25.344369,25.304135,25.238437,25.238437,?,30.5,0,true,10,36
25.355043,25.313969,25.247155,25.247155,?,30.5,0,true,10,37
25.3657,25.323805,25.255897,25.255897,?,30.5,0,true,10,38
25.376339,25.333644,25.264659,25.264659,?,30.5,0,true,10,39
25.38696,25.343482,25.273441,25.273441,?,30.5,0,true,10,40
25.397563,25.35332,25.28224,25.28224,?,30.5,0,true,10,41
25.408146,25.363156,25.291055,25.291055,?,30.5,0,true,10,42
25.41871,25.372989,25.299884,25.299884,?,30.5,0,true,10,43
25.429255,25.382818,25.308726,25.308726,?,30.5,0,true,10,44
25.439779,25.392642,25.317579,25.317579,?,30.5,0,true,10,45
25.450282,25.40246,25.326442,25.326442,?,30.5,0,true,10,46
25.460765,25.412272,25.335314,25.335314,?,30.5,0,true,10,47
25.471227,25.422077,25.344193,25.344193,?,30.5,0,true,10,48
25.481667,25.431874,25.353079,25.353079,?,30.5,0,true,10,49
25.492086,25.441663,25.361971,25.361971,?,30.5,0,true,10,50
25.502483,25.451442,25.370868,25.370868,?,30.5,0,true,10,51
25.615378,25.558282,23.650753,23.650753,10.522952,30.5,0,true,10,52
25.625505,25.567918,23.484331,23.484331,10.586152,30.500077,0,true,10,53
25.635609,25.57754,23.332738,23.332738,10.646989,30.500155,0,true,10,54
25.645689,25.587147,23.195208,23.195208,10.70531,30.500232,0,true,10,55
25.655747,25.59674,23.07085,23.07085,10.761126,30.50031,0,true,10,56
25.665782,25.606317,22.958726,22.958726,10.81455,30.500387,0,true,10,57
25.675794,25.61588,22.85789,22.85789,10.865751,30.500464,0,true,10,58
25.685782,25.625427,22.767418,22.767418,10.914926,30.500541,0,true,10,59
25.695748,25.634959,22.686425,22.686425,10.962281,30.500618,0,true,10,60
25.70569,25.644475,22.614078,22.614078,11.008016,30.500696,0,true,10,61
25.715609,25.653976,22.549597,22.549597,11.052323,30.500773,0,true,10,62
25.725505,25.66346,22.492261,22.492261,11.095373,30.50085,0,true,10,63
25.735378,25.672928,22.441403,22.441403,11.137324,30.500927,0,true,10,64
25.745228,25.68238,22.396413,22.396413,11.178315,30.501004,0,true,10,65
