@RELATION RapidMinerData

@ATTRIBUTE 'hvac100on' {'false','true'}
@ATTRIBUTE 'hvac200on' {'false','true'}
@ATTRIBUTE 'hvac300on' {'false','true'}
@ATTRIBUTE 'valueTS100' real
@ATTRIBUTE 'valueTS101' real
@ATTRIBUTE 'valueTS102' real
@ATTRIBUTE 'valueTS103' real
@ATTRIBUTE 'valueTS104' real
@ATTRIBUTE 'valueTS105' real
@ATTRIBUTE 'valueTS_001' real
@ATTRIBUTE 'valueTS_002' real
@ATTRIBUTE 'valueTS_CORNER' real
@ATTRIBUTE 'hvac100Value' real
@ATTRIBUTE 'hvac200Value' real
@ATTRIBUTE 'hvac300Value' real
@ATTRIBUTE 'tick' real

@DATA
'false','false','false',25.00168870779135,25.003386893780498,25.0016842591343,25.0,25.0,25.000000000007237,?,?,35.0,?,?,?,1.0
'false','false','false',25.003354002003714,25.00692343755794,25.003465570720437,25.0,25.0,25.000000000041204,?,?,35.0,?,?,?,2.0
'false','false','false',25.007676943219714,25.01146593720151,25.00576609134843,25.002204557399864,25.0,25.00000000016702,?,?,35.0,?,?,?,3.0
'false','false','false',25.013902551922342,25.01683329063162,25.00849700798228,25.00597653798267,25.0,25.0000000005404,?,?,35.0,?,?,?,4.0
'false','false','false',25.021367987933715,25.02287448677531,25.01170841505921,25.010896121576387,25.0,25.00000000148455,?,?,35.0,?,?,?,5.0
'false','false','false',25.029665618536306,25.02946899114433,25.01543802029486,25.016674428603057,25.000000000000004,25.00000000359746,?,?,35.0,?,?,?,6.0
'false','false','false',25.14014431047242,25.121033817396643,23.283337151134265,25.108967688313108,24.999997841314144,25.000001065444092,10.520971207789643,?,35.0,?,?,?,7.0
'false','false','false',25.15081838184298,25.130269656559072,23.117559180487202,25.11858349231766,24.999985195068458,25.00000146898174,10.58372312053199,?,35.0,?,?,?,8.0
'false','false','false',25.161525462364395,25.13958501304396,22.96663298061103,25.128286618699594,24.999943768553837,25.000001988047302,10.644100705909628,?,35.0,?,?,?,9.0
'false','false','false',25.17225841523969,25.148970650457876,22.829782448836117,25.138064385560362,24.99984338326211,25.000002645529417,10.701955039488544,?,35.0,?,?,?,10.0
'false','false','false',25.183011197098494,25.15841845612023,22.70611306328836,25.147906033520634,24.999642365507306,25.000003466819198,10.757299981820355,?,35.0,?,?,?,11.0
'false','false','false',25.193778654232585,25.167921271004786,22.594681479753337,25.15780237450346,24.999289777709144,25.000004479820085,10.810249394599907,?,34.999999999999986,?,?,?,12.0
'false','false','false',25.204556363604283,25.177472750192614,22.494539563845308,25.167745513612044,24.99872866831748,25.000005714940006,10.860973777855289,?,34.999999999999986,?,?,?,13.0
'false','false','false',25.215340507386816,25.18706724756001,22.404762198087333,25.1777286274831,24.997899569553006,25.000007205068286,10.90967093791963,?,34.999999999999986,?,?,?,14.0
'false','false','false',25.226127772946292,25.19669971987104,22.32446443205772,25.187745786473936,24.996743698292903,25.000008985539804,10.956546624027927,?,34.99999999999998,?,?,?,15.0
'false','false','false',25.23691527235676,25.20636564652502,22.25281148713828,25.197791811060103,24.995205561896036,25.000011094088674,11.001802204231671,?,34.99999999999998,?,?,?,16.0
'false','false','false',25.247700477075362,25.216060962022812,22.189023928319997,25.20786215509572,24.99323486606457,25.000013570793556,11.045627268095718,?,34.999999999999964,?,?,?,17.0
'false','false','false',25.25848116450127,25.225781998835174,22.132379572033145,25.217952810300613,24.990787749059812,25.00001645801646,11.088195621483118,?,34.99999999999995,?,?,?,18.0
'false','false','false',25.269255373935966,25.235525438830486,22.082213214435523,25.22806022762775,24.987827434813447,25.00001980033669,11.129663558900068,?,34.99999999999994,?,?,?,19.0
'false','false','false',25.280021370044505,25.245288271786432,22.03791493716177,25.238181252139775,24.984324423689568,25.000023644481207,11.17016961230744,?,34.99999999999992,?,?,?,20.0
'true','true','true',25.29077761234813,25.25506775979617,21.998927520817983,25.248313068763654,24.980256340000214,25.00002803924925,11.209835210815012,?,34.99999999999991,50.0,50.0,50.0,21.0
'true','true','true',25.301522729600897,25.26486140660394,21.966591511088428,25.258186834430557,24.975607542113252,25.000033035418532,11.248765861217818,?,34.999999999999886,50.0,50.0,50.0,22.0
'true','true','true',25.312255498277153,25.27466693108298,21.941037464852467,25.322397973712285,24.970368582248508,25.000038687437097,11.287052588638609,?,34.99999999999986,50.0,50.0,50.0,23.0
'true','true','true',25.333679731869758,25.294305429001646,21.986969457917116,25.498508560996452,24.958109585212554,25.000052288142047,11.361995165752086,?,34.999999999999794,50.0,50.0,50.0,24.0
'true','true','true',25.355042899879994,25.313968502774877,22.11449700504112,25.6861463500902,24.943503434149218,25.000070437632495,11.435159197635926,?,34.99999999999971,50.0,50.0,50.0,25.0
'true','true','true',25.376339198392213,25.333643642333797,22.297377245833747,25.885944871235047,24.926632731758485,25.000098611505805,11.506902544966529,?,34.9999999999996,50.0,50.0,50.0,26.0
'true','true','true',25.397564332576824,25.35332016678733,22.518484595373984,26.096127441184354,24.907620774292308,25.000151109734727,11.57748271285044,?,34.99999999999949,50.0,50.0,50.0,27.0
'true','true','true',25.418715501361596,25.372988902401843,22.766669534004826,26.314847560112895,24.886616961942774,25.00025698766785,11.64708728432109,?,34.99999999999934,50.0,50.0,50.0,28.0
'true','true','true',25.439791383965815,25.392641930490765,23.03447003419071,26.540626895744293,24.863785447402265,25.00046533553401,11.715857124369672,?,34.99999999999916,50.0,50.0,50.0,29.0
'true','true','true',25.460792084220238,25.412272471220042,23.31677374233531,26.772325547814308,24.839296635797275,25.00084867031933,11.783903272009253,?,34.99999999999896,50.0,50.0,50.0,30.0
'true','true','true',25.48171902406212,25.431875118881425,23.610013522108254,27.009061062762264,24.81332103177035,25.00150398116981,11.851318676483412,?,34.99999999999873,50.0,50.0,50.0,31.0
'true','true','true',25.502574797172162,25.451446420481354,23.911663107511583,27.250141111554694,24.78602494072523,25.002551625722823,11.918185960976473,?,34.99999999999849,50.0,50.0,50.0,32.0
'true','true','true',25.523362999983,25.470985477693425,24.219910317711644,27.495014430435155,24.75756759397987,25.004132623435623,11.984582280387933,?,34.999999999998195,50.0,50.0,50.0,33.0
'true','true','true',25.544088056212892,25.49049428904332,24.53344007931898,27.743235844479283,24.728099343799002,25.006404973760898,12.050582151228873,?,34.99999999999788,50.0,50.0,50.0,34.0
'true','true','true',25.56475504716523,25.509977757224206,24.851287649551107,27.99444118927435,24.697760647025937,25.009539551601552,12.116258929169241,?,34.99999999999754,50.0,50.0,50.0,35.0
'true','true','true',25.585369555731546,25.52944342554691,25.17273783988261,28.248329082972635,24.66668161891041,25.013715995309656,12.181685427207965,?,34.99999999999717,50.0,50.0,50.0,36.0
'true','true','true',25.605937528384846,25.548901048707467,25.497254957978374,28.504647471232857,24.634981990335298,25.019118862172974,12.246934018851857,?,34.999999999996774,50.0,50.0,50.0,37.0
'true','true','true',25.626465156741535,25.568362093291178,25.824433576528445,28.76318354336916,24.602771342728477,25.025934209517132,12.312076457660343,?,34.99999999999635,50.0,50.0,50.0,38.0
'true','true','true',25.64695877845177,25.587839237559372,26.153963603343733,29.023756066785268,24.570149527014784,25.03434667315012,12.377183562635768,?,34.99999999999589,50.0,50.0,50.0,39.0
'true','true','true',25.66742479607699,25.60734591378746,26.485605280523504,29.286209482945473,24.537207197656198,25.04453705631683,12.44232486185807,?,34.9999999999954,50.0,50.0,50.0,40.0
'true','true','true',25.687869612037126,25.62689591531652,26.819171144983194,29.550409305244113,24.504026411645526,25.056680405798332,12.507568248253929,?,34.9999999999949,50.0,50.0,50.0,41.0
'true','true','true',25.70829957749192,25.646503075662384,27.15451291306865,29.816238492112767,24.470681256538462,25.070944531264992,12.572979676210318,?,34.999999999994365,50.0,50.0,50.0,42.0
'true','true','true',25.728720951844043,25.666181017757093,27.48957045952746,29.990801395116154,24.437238482272544,25.08748889786922,12.638622904874195,?,34.9999999999938,50.0,50.0,50.0,43.0
'true','true','true',25.738930337883016,25.676050684238454,27.62652829407474,30.060569808022706,24.420499493565096,25.096663486070355,12.671550701909716,?,34.999999999993506,50.0,50.0,50.0,44.0
'true','true','true',25.749139857634827,25.68594296633716,27.74410921015538,30.122944027571684,24.403758119463454,25.106463630171728,12.704559206786035,?,34.999999999993214,50.0,50.0,50.0,45.0
'true','true','true',25.759350241168114,25.69585943308141,27.845777820104935,30.17962408473801,24.387020911261533,25.116906370654487,12.73765559285403,?,34.99999999999291,50.0,50.0,50.0,46.0
'true','true','true',25.76956219582572,25.70580161430295,27.934526285775274,30.23174414312129,24.370294072741995,25.128007877693754,12.77084677140488,?,34.999999999992596,50.0,50.0,50.0,47.0
'true','true','true',25.779776400146687,25.715770998948972,28.012748574105267,30.28010643241591,24.35358347688766,25.139783306858735,12.804139339131524,?,34.99999999999228,50.0,50.0,50.0,48.0
'true','true','true',25.78999349737602,25.725769033466303,28.082337645194322,30.32530550651695,24.336894682006584,25.15224663169272,12.837539518706183,?,34.99999999999197,50.0,50.0,50.0,49.0
'true','true','true',25.800214089011327,25.735797121024063,28.14479719904859,30.36779830029794,24.32023294726178,25.165410463887447,12.87105309639372,?,34.999999999991644,50.0,50.0,50.0,50.0
'true','true','true',25.810438728806407,25.745856620694287,28.2013315832777,30.407946028437344,24.30360324760274,25.179285873776298,12.904685361008076,?,34.99999999999132,50.0,50.0,50.0,51.0
'true','true','true',25.87189549386023,25.806943554353474,28.459759284789165,30.61289519607619,24.20474406260025,25.27287115154949,13.109192918697426,?,34.99999999998922,50.0,50.0,50.0,52.0
'true','true','true',25.882159153304578,25.817256868608986,28.494099737036464,30.642579606372113,24.188456897249033,25.283856275382806,13.14375318008345,?,34.99999999998885,50.0,50.0,50.0,53.0
'true','true','true',25.89242918264261,25.82761044065287,28.52682582661699,30.67129058861953,24.172232934142365,25.290814132882,13.178452068572472,?,34.999999999988475,50.0,50.0,50.0,54.0
'true','true','true',25.902705604791993,25.838004936758473,28.558151741888413,30.699110500886185,24.15607516716227,25.293700300448755,13.213289188964126,?,34.999999999988106,50.0,50.0,50.0,55.0
'true','true','true',25.91298839050865,25.84844086695025,28.58825783978562,30.726111983810007,24.139986424350283,25.292843678705854,13.248263576105474,?,34.99999999998773,50.0,50.0,50.0,56.0
'true','true','true',25.92327746206194,25.85891857236026,28.61729645528348,30.752359410434355,24.12396937698346,25.288758350919494,13.283373734833694,15.348924687924802,34.999999999987345,50.0,50.0,50.0,57.0
'true','true','true',25.933572697123605,25.86943821705424,28.645396638423033,30.77791007334543,24.108026548218074,25.282018571751557,13.318617682832022,15.391015535569046,34.999999999986954,50.0,50.0,50.0,58.0
'true','true','true',25.9438739327609,25.87999978445485,28.67266803232722,30.802815165314975,24.092160321318183,25.27318706791943,13.353992995078455,15.431536592555325,34.99999999998656,50.0,50.0,50.0,59.0
'true','true','true',25.954180969442195,25.89060307814833,28.699204059446362,30.827120595779,24.07637294748566,25.262779213335783,13.389496848767445,15.470387846508439,34.99999999998616,50.0,50.0,50.0,60.0
'true','true','true',25.964493574980516,25.901247726620586,28.72508454808613,30.85086767548038,24.060666553307886,25.25124873609422,13.425126067785918,15.507577396050477,34.99999999998577,50.0,50.0,50.0,61.0
'true','true','true',25.974811488356654,25.911933191321197,28.750377904166335,30.874093694272545,24.04504314783852,25.238985303786215,13.460877166015026,15.543179444046055,34.999999999985356,50.0,50.0,50.0,62.0
'true','true','true',25.985134423377588,25.922658777383283,28.77514291208748,30.89683241162997,24.029504629326247,25.226318081638688,13.496746388901434,15.577305319676325,34.99999999998495,50.0,50.0,50.0,63.0
'true','true','true',25.995462072138377,25.933423646318648,28.799430232071444,30.919114475303086,24.014052791605888,25.213521871576695,13.532729752893205,15.610083930697222,34.999999999984546,50.0,50.0,50.0,64.0
'true','true','true',26.00579410826645,25.94422683004355,28.82328364831838,30.940967780422408,23.998689330165426,25.20082399321735,13.568823082464576,15.6416489247334,34.99999999998413,50.0,50.0,50.0,65.0
'true','true','true',26.01613018993576,25.955067245656572,28.84674111198848,30.96241777894168,23.9834158479023,25.18841097887465,13.605022044561265,15.672130589220219,34.99999999998371,50.0,50.0,50.0,66.0
'true','true','true',26.026469962645386,25.96594371041075,28.86983561477595,30.983487747429223,23.9682338605816,25.17643466662217,13.641322180385556,15.701651063104835,34.99999999998329,50.0,50.0,50.0,67.0
'true','true','true',26.036813061762974,25.976854956190103,28.89259592224091,31.00419901973937,23.953144802008303,25.165017550076698,13.677718934509691,15.730321820273415,34.99999999998287,50.0,50.0,50.0,68.0
'true','true','true',26.047159114837577,25.98779964254923,28.915047190754528,31.02457118992549,23.938150028925513,25.154257381978,13.714207681359847,15.758242667953361,34.999999999982435,50.0,50.0,50.0,69.0
'true','true','true',26.05750774368973,25.998776367189826,28.93721148762531,31.044622289821454,23.923250825649983,25.144231091617442,13.750783749153237,15.785501716026669,34.999999999982,50.0,50.0,50.0,70.0
'true','true','true',26.067858566289125,26.00978367281552,28.959108230501318,31.06436894496749,23.908448408456074,25.134998099084115,13.787442441399895,15.81217593380241,34.999999999981576,50.0,50.0,50.0,71.0
'true','true','true',26.078211198431553,26.0208200496862,28.980754559320353,31.083826511948093,23.89374392971886,25.126603112134937,13.824179056100613,15.838332030813556,34.999999999981135,50.0,50.0,50.0,72.0
'true','true','true',26.088565255228037,26.03188393379645,29.002165651779297,31.103009199714812,23.87913848182681,25.11907848518293,13.86098890278484,15.864027486141392,34.99999999998069,50.0,50.0,50.0,73.0
'true','true','true',26.09892035241943,26.042973701263776,29.023354991413157,31.121930177061262,23.864633100874265,25.112446210174333,13.897867317538951,15.889311613702398,34.99999999998025,50.0,50.0,50.0,74.0
'true','true','true',26.109276107529848,26.054087660064777,29.04433459583303,31.14060166808405,23.850228770143467,25.10671959884122,13.9348096761772,15.914226594851268,34.999999999979806,50.0,50.0,50.0,75.0
'true','true','true',26.119632140872323,26.065224040593364,29.065115211405487,31.159035037187017,23.83592642338576,25.101904706259678,13.97181140570618,15.938808439507797,34.999999999979366,50.0,50.0,50.0,76.0
'true','true','true',26.129988076419437,26.076380986600135,29.085706479613066,31.177240864956957,23.821726947911337,25.098001537294493,14.008867994229501,15.963087856736353,34.99999999997891,50.0,50.0,50.0,77.0
'true','true','true',26.140343542551346,26.08755654793243,29.10611707947397,31.19522901604704,23.807631187496327,25.09500507045139,14.04597499943344,15.987091028303114,34.999999999978456,50.0,50.0,50.0,78.0
'true','true','true',26.15069817269292,26.098748676194823,29.126354849686834,31.213008700043652,23.793639945115956,25.092906127792624,14.08312805578722,16.01084028643931,34.999999999978,50.0,50.0,50.0,79.0
'true','true','true',26.161051605850922,26.10995522406363,29.146426893575335,31.23058852615703,23.779753985512134,25.091692114742308,14.120322880583466,16.034354701456234,34.99999999997755,50.0,50.0,50.0,80.0
'true','true','true',26.1714034870616,26.121173948586694,29.166339669416566,31.247976552461854,23.765974037603172,25.091347649644852,14.157555278936165,16.057650587123973,34.99999999997708,50.0,50.0,50.0,81.0
'true','true','true',26.181753467758035,26.132402518432322,29.1860990683284,31.265180330317026,23.75230079674334,25.09185509968884,14.194821147844749,16.080741932623017,34.99999999997663,50.0,50.0,50.0,82.0
'true','true','true',26.192101206066184,26.143638524752127,29.20571048154998,31.28220694451137,23.738734926839253,25.09319503713616,14.23211647942463,16.103640769936373,34.99999999997616,50.0,50.0,50.0,83.0
'true','true','true',26.202446367037492,26.154879495106098,29.225178858664627,31.299063049611703,23.72527706232978,25.095346627592313,14.269437363396097,16.12635748512185,34.9999999999757,50.0,50.0,50.0,84.0
'true','true','true',26.212788622825457,26.166122909765857,29.244508758075927,31.31575490292949,23.71192781003578,25.098287960229783,14.306779988915718,16.148901081219236,34.99999999997523,50.0,50.0,50.0,85.0
'true','true','true',26.2231276528128,26.177366219654612,29.263704390847455,31.332288394470414,23.698687750885473,25.101996328359913,14.344140645826721,16.17127939975048,34.99999999997476,50.0,50.0,50.0,86.0
'true','true','true',26.233463143695253,26.18860686518667,29.282769658848917,31.34866907418681,23.685557441520967,25.106448467483638,14.38151572539787,16.193499306952443,34.999999999974285,50.0,50.0,50.0,87.0
'true','true','true',26.243794789527403,26.199842295319808,29.301708188009577,31.364902176814372,23.67253741579099,25.111620756891178,14.418901720613638,16.2155668500934,34.999999999973824,50.0,50.0,50.0,88.0
'true','true','true',26.254122291735513,26.211069986215097,29.320523357361036,31.380992644541198,23.65962818613468,25.1174893899896,14.45629522607242,16.23748738849466,34.99999999997335,50.0,50.0,50.0,89.0
'true','true','true',26.264445359101625,26.222287458997734,29.3392183244506,31.396945147728466,23.646830244860812,25.124030517784895,14.493692937543816,16.259265703220695,34.999999999972864,50.0,50.0,50.0,90.0
'true','true','true',26.274763707723015,26.233492296218543,29.357796047621388,31.412764103876686,23.63414406532682,25.13122036930905,14.531091651230792,16.28090608881831,34.99999999997239,50.0,50.0,50.0,91.0
'true','true','true',26.285077060950368,26.244682156720142,29.376259305583524,31.42845369500978,23.621570103021526,25.139035352242388,14.5684882627778,16.3024124299762,34.99999999997191,50.0,50.0,50.0,92.0
'true','true','true',26.29538514930789,26.255854788709293,29.394610714639406,31.444017883629943,23.609108796555525,25.147452136522077,14.605879766061593,16.323788265535498,34.999999999971436,50.0,50.0,50.0,93.0
'true','true','true',26.305687710398097,26.267008040924004,29.412852743874573,31.459460427379476,23.596760568562836,25.156447723336065,14.64326325179748,16.345036841903365,34.99999999997096,50.0,50.0,50.0,94.0
'true','true','true',26.31598448879375,26.278139871857853,29.43098772858113,31.474784892531112,23.58452582651764,25.16599950156717,14.680635905990188,16.36616115759839,34.99999999997047,50.0,50.0,50.0,95.0
'true','true','true',26.326275235919105,26.289248357065333,29.449017882143767,31.489994666415292,23.572404963469467,25.1760852934656,14.717995008255283,16.387164000381535,34.999999999969994,50.0,50.0,50.0,96.0
'true','true','true',26.336559709922465,26.3003316946202,29.466945306585945,31.505092968881673,23.56039835870053,25.18668339108295,14.755337930034148,16.408047978193483,34.9999999999695,50.0,50.0,50.0,97.0
'true','true','true',26.346837675541614,26.31138820883503,29.484772001946624,31.52008286288177,23.548506378308765,25.197772584789924,14.79266213272288,16.42881554492227,34.99999999996901,50.0,50.0,50.0,98.0
'true','true','true',26.35710890396378,26.322416352375978,29.50249987463489,31.534967264250987,23.536729375719936,25.20933218501906,14.829965165733057,16.449469021859173,34.99999999996854,50.0,50.0,50.0,99.0
'true','true','true',26.367373172681262,26.333414706923197,29.520130744889407,31.549748950760296,23.525067692132644,25.22134203821797,14.867244664500307,16.470010615561034,34.99999999996805,50.0,50.0,50.0,100.0
'true','true','true',26.459404619756622,26.430886736600193,29.97863910117739,31.678561777508882,23.425352534192523,25.34664004385958,?,16.650173002878397,34.99999999996363,50.0,50.0,50.0,101.0
'true','true','true',26.469588333869915,26.441535926216318,30.068821559615095,31.692444009075217,23.4148603181875,25.36216532805231,?,16.669699923661266,34.99999999996312,50.0,50.0,50.0,102.0
'true','true','true',26.479763014134033,26.452147440685685,30.158902177171704,31.70624698948569,23.404486499898518,25.377955386558096,?,16.68913457084901,34.99999999996264,50.0,50.0,50.0,103.0
'true','true','true',26.489928502108427,26.462721139690284,30.24787950458343,31.719972350554222,23.394231557288883,25.393996516161298,?,16.70847844897716,34.999999999962135,50.0,50.0,50.0,104.0
'true','true','true',26.50008464376238,26.473256954561037,30.335084972641926,31.733621659235933,23.38409634909088,25.410275497753943,?,16.72773302913446,34.999999999961645,50.0,50.0,50.0,105.0
'true','true','true',26.510231289343942,26.483754882636436,30.42008530081832,31.74719642099702,23.37408227754728,25.426779584230612,?,16.74689975050515,34.99999999996115,50.0,50.0,50.0,106.0
'true','true','true',26.52036829325207,26.494214981779397,30.50261383871358,31.76069808297451,23.36419138541632,25.443496488143793,?,16.765980021700678,34.99999999996064,50.0,50.0,50.0,107.0
'true','true','true',26.53049551391217,26.504637365081642,30.582522022974405,31.774128036940986,23.354426373245648,25.46041436921082,?,16.784975221918607,34.99999999996016,50.0,50.0,50.0,108.0
'true','true','true',26.540612813655013,26.515022195778464,30.659744805078976,31.78748762208851,23.34479054576006,25.47752182174992,?,16.803886701959865,34.999999999959655,50.0,50.0,50.0,109.0
'true','true','true',26.550720058599097,26.525369682390725,30.73427585443547,31.80077812764447,23.335287707703326,25.494807862111223,?,16.82271578513007,34.99999999995916,50.0,50.0,50.0,110.0
'true','true','true',26.560817118536345,26.535680074105663,30.80614967004927,31.814000795331292,23.32592203172944,25.512261916158476,?,16.841463768045887,34.82501749995787,50.0,50.0,50.0,111.0
'true','true','true',26.570903866820725,26.545953656403007,30.875428624060948,31.82715682168088,23.316697917835093,25.529873806848315,?,16.860131921363788,34.6500175038937,50.0,50.0,50.0,112.0
'true','true','true',26.580980180258926,26.556190746928564,30.942193557867306,31.8402473602139,23.307619858626715,25.54763374194632,?,16.878721490445425,34.475017504697654,50.0,50.0,50.0,113.0
